City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
204,Provideniya,64.3833,-173.3,31.8,97,100,10.6,RU,snow
205,Mocuba,-16.8392,36.9856,73.04,80,0,4.63,MZ,clear sky
206,Aykhal,66.0,111.5,8.4,93,100,25.1,RU,overcast clouds
207,Guozhen,34.3659,107.359,38.23,44,97,2.53,CN,overcast clouds
208,Tuatapere,-46.1333,167.6833,59.94,65,99,12.39,NZ,overcast clouds
209,Upernavik,72.7868,-56.1549,19.76,66,100,27.45,GL,overcast clouds
210,San Jose,37.3394,-121.895,55.58,93,100,4.61,US,moderate rain
211,Sao Joao Da Barra,-21.6403,-41.0511,72.73,91,100,16.71,BR,light rain
212,Sorland,67.667,12.6934,37.26,73,100,16.75,NO,overcast clouds
213,Teknaf,20.8624,92.3058,73.74,75,5,6.44,BD,clear sky
214,Pisco,-13.7,-76.2167,67.01,82,0,11.5,PE,clear sky
215,Santa Isabel,-23.3156,-46.2214,70.56,99,100,2.91,BR,overcast clouds
216,Jagdispur,25.4833,84.4167,57.47,57,0,5.23,IN,clear sky
217,Nioro,13.35,-15.75,69.24,69,77,5.23,GM,broken clouds
218,Nevsehir,38.9167,34.6667,29.41,100,61,6.91,TR,mist
219,Dvinskoy,62.1535,45.1175,9.41,96,76,3.33,RU,broken clouds
220,Hollins,37.3413,-79.9431,52.0,78,77,6.24,US,broken clouds
221,Sao Jose Da Coroa Grande,-8.8978,-35.1478,76.62,85,2,9.89,BR,clear sky
222,Nanortalik,60.1432,-45.2371,23.92,79,3,12.91,GL,clear sky
223,Uvira,-3.4067,29.1458,72.55,78,100,5.84,CD,overcast clouds
224,Churapcha,62.0025,132.4325,-24.83,96,100,1.21,RU,overcast clouds
225,Yeppoon,-23.1333,150.7333,78.58,60,15,10.67,AU,few clouds
226,Vila Franca Do Campo,37.7167,-25.4333,59.41,79,98,25.79,PT,light rain
227,Kapit,2.0167,112.9333,75.49,97,100,1.92,MY,light rain
228,Semnan,35.5729,53.3971,49.84,46,75,6.91,IR,broken clouds
229,Lagoa,39.05,-27.9833,59.45,68,8,31.68,PT,clear sky
230,Kirovskiy,45.0917,133.5136,7.63,72,68,14.52,RU,broken clouds
231,Ugoofaaru,5.6667,73.0,80.08,76,86,3.76,MV,overcast clouds
232,Carballo,43.213,-8.691,42.91,86,19,2.73,ES,few clouds
233,Nizhniy Kuranakh,58.8353,125.4869,2.25,95,100,11.43,RU,light snow
234,Troitskiy,57.0603,63.7481,5.41,90,100,6.69,RU,overcast clouds
235,Onokhoy,51.932,108.0747,10.15,83,100,11.99,RU,overcast clouds
236,Naples,40.8333,14.25,59.05,93,75,9.22,IT,thunderstorm with light rain
237,Yenagoa,4.9247,6.2642,76.23,92,23,3.98,NG,few clouds
238,Kodiak,57.79,-152.4072,33.08,71,78,5.91,US,broken clouds
239,Ust-Omchug,61.15,149.6333,-24.54,99,71,1.1,RU,broken clouds
240,Iquitos,-3.7481,-73.2472,77.04,83,75,3.44,PE,broken clouds
241,Union,40.6334,-74.2663,51.89,64,0,17.27,US,clear sky
242,Bambous Virieux,-20.3428,57.7575,73.65,83,40,0.0,MU,scattered clouds
243,Gizo,-8.103,156.8419,83.48,69,87,1.7,SB,light rain
244,Sayat,38.7839,63.8803,30.07,37,100,9.62,TM,overcast clouds
245,Sao Filipe,14.8961,-24.4956,71.74,64,99,3.94,CV,overcast clouds
246,Chiredzi,-21.05,31.6667,72.54,61,2,8.41,ZW,clear sky
247,Kulu,39.0951,33.0799,42.85,71,97,6.15,TR,overcast clouds
248,Paslek,54.0616,19.6593,32.56,96,100,7.52,PL,overcast clouds
249,Camacha,33.0833,-16.3333,56.62,77,40,2.3,PT,scattered clouds
250,Severo-Kurilsk,50.6789,156.125,34.79,89,96,17.52,RU,overcast clouds
251,Geraldton,-28.7667,114.6,75.61,64,100,3.44,AU,overcast clouds
252,Belmonte,-15.8631,-38.8828,73.63,90,98,7.34,BR,overcast clouds
253,Liberal,37.0431,-100.921,38.44,25,100,13.15,US,overcast clouds
254,Landerneau,48.4525,-4.2525,40.23,84,100,8.05,FR,overcast clouds
255,Vila Velha,-20.3297,-40.2925,73.35,97,100,6.91,BR,mist
256,Yabrud,33.9674,36.6574,42.55,72,30,2.42,SY,scattered clouds
257,Bristol,41.8334,-71.1662,55.62,70,93,5.99,US,overcast clouds
258,Torbay,47.6666,-52.7314,33.28,78,75,6.91,CA,broken clouds
259,Aksehir,38.3575,31.4164,42.93,82,99,2.98,TR,overcast clouds
260,Ahipara,-35.1667,173.1667,67.1,60,4,8.86,NZ,clear sky
261,Bonfim,3.0833,-59.95,77.32,82,100,8.3,BR,heavy intensity rain
262,Monte Alegre,-2.0078,-54.0692,75.2,90,95,1.81,BR,overcast clouds
263,Moroni,-11.7022,43.2551,77.88,78,1,4.97,KM,clear sky
264,Jalu,29.0331,21.5482,56.61,64,65,7.78,LY,broken clouds
265,Seljord,59.4894,8.634,22.08,96,45,3.2,NO,scattered clouds
